STATEFIPS,STATE,ZIPCODE,AGI_STUB,Number of Returns
1,AL,36054,0,6630
1,AL,36064,0,4570
1,AL,36066,0,8770
1,AL,36067,0,11070
1,AL,36069,0,830
1,AL,36071,0,340
1,AL,36075,0,860
1,AL,36078,0,5590
1,AL,36079,0,3600
1,AL,36080,0,1000
1,AL,36081,0,5810
1,AL,36083,0,3570
1,AL,36088,0,1060
1,AL,36089,0,2960
1,AL,36091,0,1510
1,AL,36092,0,8630
1,AL,36093,0,4870
1,AL,36104,0,2620
1,AL,36105,0,4660
1,AL,36106,0,6780
1,AL,36107,0,3240
1,AL,36108,0,7940
1,AL,36109,0,11350
1,AL,36110,0,4990
1,AL,36111,0,5750
1,AL,36113,0,350
1,AL,36115,0,280
1,AL,36116,0,18710
1,AL,36117,0,22460
1,AL,36201,0,6620
1,AL,36203,0,8490
1,AL,36205,0,280
1,AL,36206,0,4600
1,AL,36207,0,8270
1,AL,36250,0,2050
1,AL,36251,0,2040
1,AL,36255,0,350
1,AL,36256,0,610
1,AL,36258,0,610
1,AL,36260,0,1640
1,AL,36262,0,510
1,AL,36263,0,260
1,AL,36264,0,3410
1,AL,36265,0,7750
1,AL,36266,0,2200
1,AL,36268,0,2160
1,AL,36269,0,450
1,AL,36271,0,2380
1,AL,36272,0,4770
1,AL,36273,0,1010
1,AL,36274,0,4310
1,AL,36276,0,840
1,AL,36277,0,2330
1,AL,36278,0,1840
1,AL,36279,0,1070
1,AL,36280,0,1370
1,AL,36301,0,15070
1,AL,36303,0,12970
1,AL,36305,0,6790
1,AL,36310,0,2440
1,AL,36311,0,1040
1,AL,36312,0,2370
1,AL,36314,0,250
1,AL,36316,0,770
1,AL,36317,0,160
1,AL,36318,0,470
1,AL,36319,0,880
1,AL,36320,0,1340
1,AL,36321,0,740
1,AL,36322,0,3430
1,AL,36323,0,2960
1,AL,36330,0,15050
1,AL,36340,0,2060
1,AL,36343,0,580
1,AL,36344,0,2070
1,AL,36345,0,3490
1,AL,36346,0,550
1,AL,36350,0,2950
1,AL,36351,0,1430
